"","x"
"1",1.53242548181758
"2",1.84462787756629
"3",6.67647917481447
"4",1.34678758885756
"5",0.580298287054782
"6",0.261739149722695
"7",1.09028990734085
"8",0.626029118554852
"9",3.58088584239725
"10",3.2095797506121
"11",2.88421401940698
"12",2.3758028777625
"13",1.0252002357603
"14",1.81365857876822
"15",4.19445841097744
"16",4.96641311459134
"17",4.13939787300885
"18",2.51454873468
"19",3.93194436271348
"20",2.07266196804412
"21",0.377348313725587
"22",1.72304861892116
"23",1.45521647378742
"24",0.89041091128565
"25",1.25405627818336
"26",1.07439322405686
"27",3.64974229758071
"28",1.23389487192049
"29",2.62768236197516
"30",3.58769226528463
"31",4.1067222996996
"32",1.10111028119893
"33",0.681393429793957
"34",4.66264429061016
"35",3.65258336023783
"36",4.35540221347906
"37",7.73413539702984
"38",2.51811833033776
"39",2.58162354132924
"40",1.11237733225136
"41",2.28452255358977
"42",0.898494671011405
"43",0.905028779150275
"44",1.50934037263912
"45",1.11745452785367
"46",10.1742586778954
"47",2.93869475698338
"48",3.62930968506813
"49",5.7926930815746
"50",1.3368502438173
